sample_id,disaster_event,problem_type,file_path,description
hurricane-harvey_00000001,hurricane-harvey,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-harvey_00000001_pre_disaster.json,Building 13: invalid polygon — Self-intersection[0 199.398662532252]
hurricane-harvey_00000107,hurricane-harvey,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-harvey_00000107_pre_disaster.json,Building 10: invalid polygon — Self-intersection[495.022512186565 165.61718205174]
hurricane-harvey_00000119,hurricane-harvey,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-harvey_00000119_pre_disaster.json,Building 7: invalid polygon — Self-intersection[254.808006905265 112.101103915464]
hurricane-harvey_00000205,hurricane-harvey,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-harvey_00000205_pre_disaster.json,Building 53: invalid polygon — Self-intersection[522.0571961204 1024]
hurricane-harvey_00000214,hurricane-harvey,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-harvey_00000214_pre_disaster.json,Building 44: invalid polygon — Ring Self-intersection[158.68004527081 233.569609088548]
hurricane-harvey_00000216,hurricane-harvey,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-harvey_00000216_pre_disaster.json,Building 36: invalid polygon — Self-intersection[295.701321169266 48.0231293762657]
hurricane-harvey_00000302,hurricane-harvey,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-harvey_00000302_pre_disaster.json,Building 19: invalid polygon — Ring Self-intersection[98.416043272201 1024]
hurricane-harvey_00000435,hurricane-harvey,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-harvey_00000435_pre_disaster.json,Building 7: invalid polygon — Ring Self-intersection[0 393.519930614883]
hurricane-harvey_00000477,hurricane-harvey,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-harvey_00000477_pre_disaster.json,Building 5: invalid polygon — Self-intersection[549.828686884489 1024]
hurricane-michael_00000028,hurricane-michael,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-michael_00000028_pre_disaster.json,Building 2: invalid polygon — Ring Self-intersection[1024 107.908916421252]
hurricane-michael_00000049,hurricane-michael,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-michael_00000049_pre_disaster.json,Building 36: invalid polygon — Self-intersection[256.596592193123 719.807796060736]
hurricane-michael_00000051,hurricane-michael,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-michael_00000051_pre_disaster.json,Building 20: invalid polygon — Self-intersection[405.107123116893 747.833304884627]
hurricane-michael_00000051,hurricane-michael,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-michael_00000051_pre_disaster.json,Building 79: invalid polygon — Self-intersection[791.830724663521 390.421725267806]
hurricane-michael_00000059,hurricane-michael,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-michael_00000059_pre_disaster.json,Building 36: invalid polygon — Self-intersection[512.709390374662 1024]
hurricane-michael_00000094,hurricane-michael,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-michael_00000094_pre_disaster.json,Building 14: invalid polygon — Self-intersection[274.229562751555 1024]
hurricane-michael_00000156,hurricane-michael,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-michael_00000156_pre_disaster.json,Building 39: invalid polygon — Self-intersection[546.479542129076 63.1848405096576]
hurricane-michael_00000172,hurricane-michael,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-michael_00000172_pre_disaster.json,Building 5: invalid polygon — Self-intersection[806.602340223431 581.346745290341]
hurricane-michael_00000172,hurricane-michael,post_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-michael_00000172_post_disaster.json,Building 5: invalid polygon — Self-intersection[807.0085575281 581.346745336051]
hurricane-michael_00000189,hurricane-michael,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-michael_00000189_pre_disaster.json,Building 75: invalid polygon — Self-intersection[38.0249104985672 1024]
hurricane-michael_00000261,hurricane-michael,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-michael_00000261_pre_disaster.json,Building 6: invalid polygon — Ring Self-intersection[1024 876.639302922092]
hurricane-michael_00000409,hurricane-michael,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-michael_00000409_pre_disaster.json,Building 79: invalid polygon — Self-intersection[649.963839671276 175.722345361328]
hurricane-michael_00000416,hurricane-michael,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-michael_00000416_pre_disaster.json,Building 72: invalid polygon — Self-intersection[936.680821630679 1024]
hurricane-michael_00000451,hurricane-michael,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-michael_00000451_pre_disaster.json,Building 50: invalid polygon — Self-intersection[571.350123889744 1024]
hurricane-michael_00000499,hurricane-michael,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-michael_00000499_pre_disaster.json,Building 25: invalid polygon — Self-intersection[268.944198564988 1024]
hurricane-michael_00000529,hurricane-michael,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-michael_00000529_pre_disaster.json,Building 38: invalid polygon — Self-intersection[148.27682005699 293.446353191596]
hurricane-michael_00000540,hurricane-michael,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\hurricane-michael_00000540_pre_disaster.json,Building 0: invalid polygon — Ring Self-intersection[1024 757]
mexico-earthquake_00000011,mexico-earthquake,pre_label,C:\Users\soura\Downloads\disha-disaster-intelligence-main\disha-disaster-intelligence-main\train_images_labels_targets\train\labels\mexico-earthquake_00000011_pre_disaster.json,Building 0: invalid polygon — Ring Self-intersection[0 51.1124946930723]
