sample_id,disaster_event,selected,reason
guatemala-volcano_00000000,guatemala-volcano,no,not_selected
guatemala-volcano_00000001,guatemala-volcano,yes,stratified_diverse
guatemala-volcano_00000002,guatemala-volcano,yes,stratified_diverse
guatemala-volcano_00000006,guatemala-volcano,no,not_selected
guatemala-volcano_00000007,guatemala-volcano,yes,stratified_diverse
guatemala-volcano_00000008,guatemala-volcano,no,not_selected
guatemala-volcano_00000010,guatemala-volcano,yes,stratified_diverse
guatemala-volcano_00000013,guatemala-volcano,yes,stratified_diverse
guatemala-volcano_00000015,guatemala-volcano,no,not_selected
guatemala-volcano_00000016,guatemala-volcano,yes,stratified_diverse
guatemala-volcano_00000017,guatemala-volcano,yes,stratified_diverse
guatemala-volcano_00000018,guatemala-volcano,yes,stratified_diverse
guatemala-volcano_00000019,guatemala-volcano,yes,stratified_diverse
guatemala-volcano_00000023,guatemala-volcano,yes,stratified_diverse
guatemala-volcano_00000024,guatemala-volcano,yes,stratified_diverse
guatemala-volcano_00000025,guatemala-volcano,yes,stratified_diverse
guatemala-volcano_00000026,guatemala-volcano,yes,stratified_diverse
guatemala-volcano_00000027,guatemala-volcano,no,not_selected
hurricane-florence_00000000,hurricane-florence,no,not_selected
hurricane-florence_00000001,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000002,hurricane-florence,no,not_selected
hurricane-florence_00000003,hurricane-florence,no,not_selected
hurricane-florence_00000008,hurricane-florence,no,not_selected
hurricane-florence_00000012,hurricane-florence,no,not_selected
hurricane-florence_00000015,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000016,hurricane-florence,no,not_selected
hurricane-florence_00000018,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000020,hurricane-florence,no,not_selected
hurricane-florence_00000022,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000023,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000024,hurricane-florence,no,not_selected
hurricane-florence_00000026,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000027,hurricane-florence,no,not_selected
hurricane-florence_00000028,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000030,hurricane-florence,no,not_selected
hurricane-florence_00000031,hurricane-florence,no,not_selected
hurricane-florence_00000032,hurricane-florence,yes,stratified_diverse
hurricane-florence_00000036,hurricane-florence,yes,stratified_diverse
